label,img_id,confidence,xmin,ymin,xmax,ymax
barrier,20200829160701219_1.mp4_54,0.840495,690.609,349.445,721.391,365.898
barrier,20200829160701219_1.mp4_54,0.674805,904.849,330.501,920.883,343.151
barrier,20200829160701219_1.mp4_54,0.224121,1093.0,332.0,1111.0,341.0
barrier,20200829160701219_1.mp4_54,0.20752,1510.0,303.0,1534.0,316.0
barrier,20200829160701219_1.mp4_54,0.10734,1457.0,303.0,1493.0,318.0
barrier,20200829160701219_1.mp4_54,0.674805,904.849,330.501,920.883,343.151
barrier,20200829160701219_1.mp4_54,0.585775,693.048,350.508,718.952,364.984
barrier,20200829160701219_1.mp4_54,0.295247,1092.04,332.0,1111.96,341.0
barrier,20200829160701219_1.mp4_54,0.28182,1458.86,303.619,1489.9,318.0
barrier,20200829160701219_1.mp4_54,0.279826,1508.97,302.742,1534.0,316.0
barrier,20200829160701219_1.mp4_54,0.25472,685.0,347.0,727.0,368.0
barrier,20200829160701219_1.mp4_54,0.148315,1393.5,314.0,1406.0,322.0
barrier,20200829160701219_1.mp4_54,0.132161,1820.0,286.0,1836.0,298.0
barrier,20200829160701219_1.mp4_54,0.116829,1388.0,330.0,1400.0,336.044
barrier,20200829160701219_1.mp4_54,0.113935,119.891,574.927,140.036,589.036
barrier,20200829160701219_1.mp4_54,0.110168,27.7904,570.21,76.2096,594.0
barrier,20200829160701219_1.mp4_54,0.0970867,753.0,358.0,775.0,369.0
barrier,20200829160701219_1.mp4_54,0.0686443,732.0,275.0,754.0,291.0
barrier,20200829160701219_1.mp4_54,0.0618897,601.0,350.0,613.0,358.0
barrier,20200829160701219_1.mp4_54,0.059855,260.0,368.0,274.0,378.0
barrier,20200829160701219_1.mp4_54,0.0528462,698.725,199.55,793.275,251.725
barrier,20200829160701219_1.mp4_54,0.840495,690.609,349.445,721.391,365.898
barrier,20200829160701219_1.mp4_54,0.674805,904.849,330.501,920.883,343.151
barrier,20200829160701219_1.mp4_54,0.295247,1092.04,332.0,1111.96,341.0
barrier,20200829160701219_1.mp4_54,0.28182,1458.86,303.619,1489.9,318.0
barrier,20200829160701219_1.mp4_54,0.279826,1508.97,302.742,1534.0,316.0
barrier,20200829160701219_1.mp4_54,0.148315,1393.5,314.0,1406.0,322.0
barrier,20200829160701219_1.mp4_54,0.132161,1820.0,286.0,1836.0,298.0
barrier,20200829160701219_1.mp4_54,0.111654,1388.0,330.0,1400.0,336.0
barrier,20200829160701219_1.mp4_54,0.110168,27.7904,570.21,76.2096,594.0
barrier,20200829160701219_1.mp4_54,0.109782,120.0,575.0,140.0,589.0
barrier,20200829160701219_1.mp4_54,0.0970867,753.0,358.0,775.0,369.0
barrier,20200829160701219_1.mp4_54,0.0686443,732.0,275.0,754.0,291.0
barrier,20200829160701219_1.mp4_54,0.0618897,601.0,350.0,613.0,358.0
barrier,20200829160701219_1.mp4_54,0.059855,260.0,368.0,274.0,378.0
barrier,20200829160701219_1.mp4_54,0.840495,690.609,349.445,721.391,365.898
barrier,20200829160701219_1.mp4_54,0.674805,904.849,330.501,920.883,343.151
barrier,20200829160701219_1.mp4_54,0.295247,1092.04,332.0,1111.96,341.0
barrier,20200829160701219_1.mp4_54,0.28182,1458.86,303.619,1489.9,318.0
barrier,20200829160701219_1.mp4_54,0.279826,1508.97,302.742,1534.0,316.0
barrier,20200829160701219_1.mp4_54,0.148315,1393.5,314.0,1406.0,322.0
barrier,20200829160701219_1.mp4_54,0.132161,1820.0,286.0,1836.0,298.0
barrier,20200829160701219_1.mp4_54,0.111654,1388.0,330.0,1400.0,336.0
barrier,20200829160701219_1.mp4_54,0.110168,27.7904,570.21,76.2096,594.0
barrier,20200829160701219_1.mp4_54,0.109782,120.0,575.0,140.0,589.0
barrier,20200829160701219_1.mp4_54,0.0970867,753.0,358.0,775.0,369.0
barrier,20200829160701219_1.mp4_54,0.0686443,732.0,275.0,754.0,291.0
barrier,20200829160701219_1.mp4_54,0.0618897,601.0,350.0,613.0,358.0
barrier,20200829160701219_1.mp4_54,0.059855,260.0,368.0,274.0,378.0
coast,20200829163250129_1.mp4_270,0.907715,19.9534,2.67527,1905.04,488.337
barrier,20200829163250129_1.mp4_270,0.799642,29.1832,399.127,425.884,580.596
barrier,20200829163250129_1.mp4_270,0.731283,1786.86,362.082,1902.13,461.269
barrier,20200829163250129_1.mp4_270,0.698568,498.61,391.35,766.04,495.98
barrier,20200829163250129_1.mp4_270,0.663574,800.145,399.972,1109.8,536.016
barrier,20200829163250129_1.mp4_270,0.492513,1437.66,397.38,1701.47,500.148
barrier,20200829163250129_1.mp4_270,0.319173,1130.16,370.0,1508.82,521.449
coast,20200829163250129_1.mp4_270,0.907715,19.9534,2.67527,1905.04,488.337
barrier,20200829163250129_1.mp4_270,0.799642,29.1832,399.127,425.884,580.596
barrier,20200829163250129_1.mp4_270,0.698568,498.61,391.35,766.04,495.98
barrier,20200829163250129_1.mp4_270,0.663574,800.145,399.972,1109.8,536.016
barrier,20200829163250129_1.mp4_270,0.534505,1410.9,397.911,1697.04,506.829
barrier,20200829163250129_1.mp4_270,0.501139,1795.07,368.549,1893.93,454.963
barrier,20200829163250129_1.mp4_270,0.230143,1769.0,348.0,1920.0,475.0
