label,img_id,confidence,xmin,ymin,xmax,ymax
barrier,20200829153758943.mp4_145,0.8326819999999999,720.279,454.80199999999996,783.721,486.599
coast,20200829153758943.mp4_145,0.316732,5.0,498.0,503.0,557.0
barrier,20200829163250129_1.mp4_300,0.839844,1351.07,328.459,1920.0,809.086
coast,20200829163250129_1.mp4_300,0.8276370000000001,0.0,3.25664,1898.38,954.77
barrier,20200829163250129_1.mp4_300,0.788249,4.782780000000001,484.205,501.824,944.811
barrier,20200829163250129_1.mp4_300,0.582357,546.0,312.0,1473.0,874.0
barrier,20200829163250129_1.mp4_300,0.177897,438.0,1064.0,484.0,1080.0
coast,20200829163250129_1.mp4_38,0.7460939999999999,14.425,420.98,1916.93,572.0
coast,20200829163250129_1.mp4_4,0.624186,1244.39,403.968,1916.42,487.70099999999996
barrier,20200829160701219_1.mp4_279,0.8816729999999999,975.3380000000001,642.3380000000001,1027.32,678.3380000000001
barrier,20200829155313476.mp4_39,0.8839520000000001,1264.01,372.0,1301.33,400.66900000000004
barrier,20200829155313476.mp4_39,0.699707,1059.38,376.33099999999996,1084.62,403.712
barrier,20200829155313476.mp4_39,0.684896,1117.43,369.68800000000005,1149.06,399.065
barrier,20200829155313476.mp4_39,0.544596,818.47,384.49,845.451,414.49
barrier,20200829155313476.mp4_39,0.279622,1652.0,356.0,1674.0,371.0
barrier,20200829155313476.mp4_39,0.277018,1211.0,375.0,1231.0,395.0
barrier,20200829155313476.mp4_39,0.265788,1014.0,381.0,1028.0,398.0
barrier,20200829155313476.mp4_39,0.258789,1420.0,364.0,1446.0,384.0
coast,20200829155313476.mp4_170,0.809733,0.530251,221.77200000000002,1918.53,494.32599999999996
barrier,20200829155313476.mp4_170,0.657226,1189.31,451.0,1246.69,470.691
coast,20200829160701219_2.mp4_28,0.513184,1187.18,346.582,1912.36,400.11
coast,20200829155313476.mp4_143,0.80306,23.8622,256.813,1896.33,503.014
barrier,20200829155313476.mp4_143,0.597819,22.7781,414.608,188.263,489.69599999999997
barrier,20200829160701219_1.mp4_34,0.8478190000000001,361.19599999999997,516.413,529.4019999999999,571.4019999999999
coast,20200829160701219_1.mp4_34,0.59375,986.8330000000001,379.125,1905.96,496.625
barrier,20200829160701219_1.mp4_34,0.255859,1810.0,398.0,1882.0,444.0
barrier,20200829160701219_1.mp4_34,0.203939,1038.0,476.0,1050.0,489.0
