label,img_id,confidence,xmin,ymin,xmax,ymax
barrier,20200829153758943.mp4_145,0.798828,723.0,448.0,781.0,490.0
barrier,20200829163250129_1.mp4_300,0.533691,438.0,1064.0,484.0,1080.0
barrier,20200829163250129_1.mp4_300,0.702637,9.0,532.0,447.0,942.0
barrier,20200829163250129_1.mp4_300,0.750977,1290.0,452.0,1920.0,814.0
coast,20200829163250129_1.mp4_300,0.8657229999999999,0.0,0.0,1858.0,945.0
coast,20200829163250129_1.mp4_38,0.529297,61.0,408.0,1907.0,572.0
coast,20200829163250129_1.mp4_4,0.530762,1258.0,414.0,1920.0,492.0
barrier,20200829160701219_1.mp4_279,0.89502,976.0,643.0,1026.0,679.0
barrier,20200829155313476.mp4_39,0.640625,1125.0,369.0,1147.0,397.0
barrier,20200829155313476.mp4_39,0.776367,1420.0,364.0,1446.0,384.0
barrier,20200829155313476.mp4_39,0.797363,1014.0,381.0,1028.0,398.0
barrier,20200829155313476.mp4_39,0.800293,1060.0,372.0,1084.0,400.0
barrier,20200829155313476.mp4_39,0.8007810000000001,820.0,385.0,848.0,415.0
barrier,20200829155313476.mp4_39,0.8310549999999999,1211.0,375.0,1231.0,395.0
barrier,20200829155313476.mp4_39,0.838867,1652.0,356.0,1674.0,371.0
barrier,20200829155313476.mp4_39,0.877441,1262.0,372.0,1302.0,400.0
barrier,20200829155313476.mp4_170,0.609375,1190.0,451.0,1246.0,470.0
coast,20200829155313476.mp4_170,0.644043,2.0,235.0,1920.0,498.0
coast,20200829160701219_2.mp4_28,0.36377,1372.0,342.0,1920.0,394.0
barrier,20200829155313476.mp4_143,0.5454100000000001,36.0,416.0,182.0,489.0
coast,20200829155313476.mp4_143,0.6835939999999999,74.0,221.0,1882.0,498.0
coast,20200829160701219_1.mp4_34,0.482422,981.0,366.0,1887.0,501.0
barrier,20200829160701219_1.mp4_34,0.611816,1038.0,476.0,1050.0,489.0
barrier,20200829160701219_1.mp4_34,0.760254,364.0,508.0,528.0,570.0
barrier,20200829160701219_1.mp4_34,0.767578,1810.0,398.0,1882.0,444.0
coast,20200829160701219_1.mp4_26,0.583496,28.0,254.0,1912.0,430.0
barrier,20200829160701219_1.mp4_26,0.5527340000000001,1711.0,409.0,1721.0,419.0
barrier,20200829155313476.mp4_50,0.606445,178.0,534.0,198.0,558.0
coast,20200829155313476.mp4_50,0.71582,336.0,163.0,1908.0,493.0
coast,20200829153758943.mp4_31,0.350098,559.0,134.0,1701.0,428.0
barrier,20200829153758943.mp4_31,0.372314,1209.0,373.0,1223.0,386.0
barrier,20200829153758943.mp4_31,0.45752,35.0,423.0,93.0,449.0
barrier,20200829153758943.mp4_31,0.547852,91.0,412.0,143.0,434.0
barrier,20200829153758943.mp4_31,0.794434,536.0,353.0,700.0,443.0
barrier,20200829153758943.mp4_96,0.394775,1259.0,626.0,1277.0,638.0
barrier,20200829153758943.mp4_96,0.5424800000000001,1352.0,628.0,1364.0,640.0
barrier,20200829153758943.mp4_96,0.551758,1753.0,641.0,1775.0,657.0
barrier,20200829153758943.mp4_96,0.62207,1324.0,627.0,1334.0,639.0
barrier,20200829153758943.mp4_96,0.627441,1710.0,616.0,1760.0,654.0
barrier,20200829153758943.mp4_96,0.642578,1278.0,628.0,1290.0,640.0
barrier,20200829153758943.mp4_96,0.645508,794.0,606.0,814.0,634.0
barrier,20200829153758943.mp4_96,0.71582,1025.0,614.0,1043.0,636.0
barrier,20200829153758943.mp4_96,0.736328,1309.0,626.0,1321.0,638.0
barrier,20200829153758943.mp4_96,0.744629,1151.0,612.0,1173.0,636.0
barrier,20200829153758943.mp4_96,0.749512,1043.0,612.0,1065.0,634.0
barrier,20200829153758943.mp4_96,0.75293,765.0,601.0,795.0,635.0
barrier,20200829153758943.mp4_96,0.7670899999999999,1080.0,618.0,1096.0,636.0
barrier,20200829153758943.mp4_96,0.767578,899.0,608.0,922.0,635.0
barrier,20200829153758943.mp4_96,0.772949,984.0,615.0,1000.0,636.0
barrier,20200829153758943.mp4_96,0.801758,558.0,604.0,578.0,630.0
barrier,20200829153758943.mp4_96,0.8066409999999999,529.0,602.0,549.0,627.0
coast,20200829155313476.mp4_53,0.663086,2.0,237.0,1782.0,472.0
coast,20200829160701219_1.mp4_218,0.628418,754.0,310.0,1886.0,506.0
barrier,20200829163250129_1.mp4_134,0.533203,848.0,580.0,882.0,592.0
coast,20200829163250129_1.mp4_134,0.65625,59.0,334.0,1889.0,593.0
barrier,20200829153758943.mp4_70,0.805176,1206.0,346.0,1270.0,374.0
barrier,20200829153758943.mp4_70,0.84375,1019.0,336.0,1071.0,373.0
barrier,20200829160701219_1.mp4_47,0.492432,1185.0,462.0,1195.0,473.0
barrier,20200829160701219_1.mp4_47,0.6420899999999999,1213.0,463.0,1225.0,475.0
barrier,20200829160701219_1.mp4_47,0.8217770000000001,550.0,437.0,642.0,478.0
barrier,20200829160701219_1.mp4_258,0.827148,876.0,392.0,894.0,408.0
coast,20200829163250129_1.mp4_122,0.701172,20.0,382.0,1920.0,684.0
coast,20200829155313476.mp4_119,0.6152340000000001,41.0,353.0,1920.0,474.0
coast,20200829155313476.mp4_85,0.303223,3.0,326.0,761.0,398.0
barrier,20200829155313476.mp4_85,0.555664,418.0,356.0,450.0,400.0
