label,img_id,confidence,xmin,ymin,xmax,ymax
barrier,20200829153758943.mp4_145,0.8376728544017733,0.391406,0.435069,0.036458,0.028935
barrier,20200829163250129_1.mp4_300,0.6301090037375718,0.531055,0.546181,0.453776,0.554398
barrier,20200829163250129_1.mp4_300,0.5499711458747726,0.845508,0.585532,0.302734,0.346065
barrier,20200829163250129_1.mp4_300,0.33272042927585543,0.111784,0.700694,0.220703,0.398148
barrier,20200829163250129_1.mp4_300,0.2650144757445865,0.119596,0.409606,0.029297,0.038194
coast,20200829163250129_1.mp4_300,0.6339249524254468,0.497786,0.461111,0.996875,0.914352
coast,20200829163250129_1.mp4_38,0.9148359896295968,0.497526,0.466898,0.992188,0.12963
coast,20200829163250129_1.mp4_4,0.6941762413128695,0.820768,0.40787,0.345703,0.076389
barrier,20200829160701219_1.mp4_279,0.6713895662520316,0.52194,0.608102,0.01888,0.043981
barrier,20200829155313476.mp4_39,0.715820042378385,0.434049,0.367361,0.011068,0.032407
barrier,20200829155313476.mp4_39,0.6424957427647128,0.531706,0.359259,0.004557,0.023148
barrier,20200829155313476.mp4_39,0.7433457345750969,0.558398,0.360995,0.011068,0.03125
barrier,20200829155313476.mp4_39,0.33428911981065734,0.586719,0.35,0.003906,0.027778
barrier,20200829155313476.mp4_39,0.19928833841297022,0.594206,0.358102,0.008464,0.023148
barrier,20200829155313476.mp4_39,0.6991241852803215,0.637826,0.352315,0.008464,0.027778
barrier,20200829155313476.mp4_39,0.8660555245826531,0.669727,0.354051,0.016276,0.03588
barrier,20200829155313476.mp4_39,0.2879963486101924,0.746875,0.340741,0.007812,0.030093
barrier,20200829155313476.mp4_39,0.497235837158027,0.867318,0.327431,0.009115,0.03125
coast,20200829155313476.mp4_170,0.3825802636046485,0.501758,0.333796,0.957682,0.24537
barrier,20200829155313476.mp4_170,0.5463802487598148,0.635547,0.427546,0.026042,0.018519
coast,20200829160701219_2.mp4_28,0.7568989045640627,0.798633,0.338426,0.374349,0.050926
coast,20200829155313476.mp4_143,0.41093123174455226,0.495573,0.364468,0.964844,0.193287
barrier,20200829155313476.mp4_143,0.7303736631626033,0.054492,0.408449,0.104818,0.082176
barrier,20200829160701219_1.mp4_34,0.680414581596678,0.232552,0.502199,0.075521,0.063657
barrier,20200829160701219_1.mp4_34,0.4455093189084034,0.333464,0.393403,0.084635,0.170139
coast,20200829160701219_1.mp4_34,0.8395637179276499,0.721484,0.411921,0.535156,0.100694
barrier,20200829160701219_1.mp4_34,0.7604796876543934,0.964974,0.39456,0.035156,0.038194
coast,20200829160701219_1.mp4_26,0.04037840891953248,0.496224,0.303125,0.951823,0.177083
coast,20200829155313476.mp4_50,0.5266111820790014,0.487109,0.359259,0.91276,0.340278
barrier,20200829155313476.mp4_50,0.8927822756835082,0.225391,0.499884,0.046875,0.040509
barrier,20200829155313476.mp4_50,0.5317058587664654,0.099414,0.506829,0.01237,0.019676
barrier,20200829153758943.mp4_31,0.15561935272192973,0.321094,0.367361,0.070312,0.078704
barrier,20200829153758943.mp4_31,0.5513129661298196,0.063932,0.392245,0.023438,0.019676
coast,20200829153758943.mp4_31,0.4451355015907784,0.667448,0.30544,0.617188,0.172454
barrier,20200829153758943.mp4_96,0.08624966961580571,0.281055,0.565856,0.009766,0.02662
barrier,20200829153758943.mp4_96,0.8291280165492145,0.295703,0.571644,0.007812,0.02662
barrier,20200829153758943.mp4_96,0.35892006597509707,0.403125,0.56875,0.00651,0.027778
barrier,20200829153758943.mp4_96,0.11233203648056977,0.410286,0.57338,0.00651,0.025463
