label,img_id,confidence,xmin,ymin,xmax,ymax
coast,20200829153758943.mp4_145,0.408203,27.0,504.0,475.0,550.0
barrier,20200829153758943.mp4_145,0.764648,718.0,460.0,786.0,484.0
barrier,20200829163250129_1.mp4_300,0.141113,1291.0,446.0,1911.0,806.0
coast,20200829163250129_1.mp4_300,0.142334,1137.0,418.0,1920.0,838.0
coast,20200829163250129_1.mp4_300,0.199829,0.0,79.0,986.0,642.0
barrier,20200829163250129_1.mp4_300,0.54834,438.0,1063.0,484.0,1080.0
coast,20200829163250129_1.mp4_38,0.372559,1053.0,469.0,1915.0,570.0
coast,20200829163250129_1.mp4_38,0.489502,480.0,432.0,1336.0,564.0
coast,20200829163250129_1.mp4_4,0.533691,1229.0,407.0,1920.0,477.0
barrier,20200829160701219_1.mp4_279,0.771484,981.0,644.0,1019.0,678.0
barrier,20200829155313476.mp4_39,0.554199,1116.0,371.0,1146.0,398.0
barrier,20200829155313476.mp4_39,0.749512,1061.0,378.0,1083.0,404.0
barrier,20200829155313476.mp4_39,0.760742,1420.0,367.0,1444.0,382.0
barrier,20200829155313476.mp4_39,0.76709,818.0,384.0,840.0,413.0
barrier,20200829155313476.mp4_39,0.781738,1014.0,381.0,1029.0,398.0
barrier,20200829155313476.mp4_39,0.793457,1211.0,375.0,1231.0,395.0
barrier,20200829155313476.mp4_39,0.833984,1651.0,356.0,1673.0,370.0
barrier,20200829155313476.mp4_39,0.869629,1262.0,371.0,1302.0,400.0
barrier,20200829155313476.mp4_170,0.305176,1189.0,450.0,1247.0,470.0
coast,20200829155313476.mp4_170,0.362793,456.0,265.0,1294.0,470.0
coast,20200829160701219_2.mp4_28,0.269775,1370.0,350.0,1920.0,392.0
coast,20200829155313476.mp4_143,0.147827,521.0,362.0,1359.0,476.0
coast,20200829155313476.mp4_143,0.263672,1125.0,328.0,1920.0,498.0
coast,20200829155313476.mp4_143,0.597168,10.0,322.0,846.0,466.0
coast,20200829160701219_1.mp4_34,0.157959,0.0,67.0,774.0,534.0
coast,20200829160701219_1.mp4_34,0.527832,860.0,368.0,1920.0,502.0
barrier,20200829160701219_1.mp4_34,0.567383,1038.0,476.0,1050.0,488.0
barrier,20200829160701219_1.mp4_34,0.668457,369.0,521.0,517.0,572.0
barrier,20200829160701219_1.mp4_34,0.675293,1815.0,404.0,1883.0,440.0
coast,20200829160701219_1.mp4_26,0.154053,777.0,325.0,1783.0,434.0
barrier,20200829160701219_1.mp4_26,0.195679,592.0,384.0,620.0,396.0
barrier,20200829160701219_1.mp4_26,0.368408,1711.0,410.0,1721.0,418.0
coast,20200829160701219_1.mp4_26,0.504395,68.0,258.0,1320.0,411.0
coast,20200829155313476.mp4_50,0.587402,706.0,182.0,1920.0,427.0
barrier,20200829153758943.mp4_31,0.103455,1179.0,375.0,1193.0,387.0
barrier,20200829153758943.mp4_31,0.141113,1512.0,359.0,1528.0,376.0
coast,20200829153758943.mp4_31,0.158813,486.0,126.0,1770.0,428.0
barrier,20200829153758943.mp4_31,0.207153,91.0,412.0,139.0,430.0
barrier,20200829153758943.mp4_31,0.289795,1487.0,363.0,1497.0,373.0
barrier,20200829153758943.mp4_31,0.347656,1209.0,373.0,1223.0,386.0
barrier,20200829153758943.mp4_31,0.730469,546.0,357.0,656.0,437.0
barrier,20200829153758943.mp4_96,0.145264,210.0,1075.0,220.0,1080.0
barrier,20200829153758943.mp4_96,0.247803,1727.0,640.0,1747.0,654.0
barrier,20200829153758943.mp4_96,0.278564,1343.0,630.0,1357.0,638.0
barrier,20200829153758943.mp4_96,0.386963,1261.0,626.0,1275.0,637.0
barrier,20200829153758943.mp4_96,0.401367,1753.0,641.0,1775.0,657.0
barrier,20200829153758943.mp4_96,0.459229,794.0,608.0,816.0,636.0
barrier,20200829153758943.mp4_96,0.480225,1354.0,630.0,1364.0,640.0
barrier,20200829153758943.mp4_96,0.523926,898.0,607.0,918.0,636.0
barrier,20200829153758943.mp4_96,0.59375,1047.0,613.0,1065.0,636.0
barrier,20200829153758943.mp4_96,0.618164,1323.0,626.0,1333.0,638.0
barrier,20200829153758943.mp4_96,0.618652,1279.0,628.0,1291.0,640.0
barrier,20200829153758943.mp4_96,0.684082,766.0,600.0,788.0,632.0
barrier,20200829153758943.mp4_96,0.686035,1024.0,614.0,1042.0,638.0
barrier,20200829153758943.mp4_96,0.736816,1150.0,614.0,1172.0,638.0
barrier,20200829153758943.mp4_96,0.740723,1079.0,622.0,1097.0,638.0
barrier,20200829153758943.mp4_96,0.740723,984.0,616.0,1000.0,636.0
barrier,20200829153758943.mp4_96,0.743164,1308.0,628.0,1320.0,639.0
barrier,20200829153758943.mp4_96,0.754883,557.0,602.0,577.0,632.0
barrier,20200829153758943.mp4_96,0.785645,529.0,602.0,549.0,628.0
coast,20200829155313476.mp4_53,0.389404,974.0,223.0,1920.0,428.0
coast,20200829155313476.mp4_53,0.475342,0.0,319.0,1261.0,471.0
coast,20200829160701219_1.mp4_218,0.518066,710.0,308.0,1920.0,501.0
coast,20200829163250129_1.mp4_134,0.254639,702.0,463.0,1560.0,586.0
barrier,20200829163250129_1.mp4_134,0.430176,848.0,580.0,882.0,592.0
coast,20200829163250129_1.mp4_134,0.538086,0.0,459.0,1038.0,595.0
barrier,20200829153758943.mp4_70,0.766113,1207.0,348.0,1265.0,371.0
barrier,20200829153758943.mp4_70,0.848633,1022.0,337.0,1064.0,373.0
barrier,20200829160701219_1.mp4_47,0.184937,1052.0,459.0,1062.0,468.0
barrier,20200829160701219_1.mp4_47,0.216431,1041.0,458.0,1051.0,467.0
barrier,20200829160701219_1.mp4_47,0.240723,1020.0,457.0,1028.0,466.0
barrier,20200829160701219_1.mp4_47,0.358154,1184.0,463.0,1194.0,473.0
barrier,20200829160701219_1.mp4_47,0.53125,1213.0,464.0,1225.0,474.0
barrier,20200829160701219_1.mp4_47,0.647949,556.0,440.0,642.0,476.0
